Filename,Label,Contrast0,Contrast45,Contrast90,Contrast135,Homogeneity0,Homogeneity45,Homogeneity90,Homogeneity135,Dissimilarity0,Dissimilarity45,Dissimilarity90,Dissimilarity135,Entropy0,Entropy45,Entropy90,Entropy135,ASM0,ASM45,ASM90,ASM135,Energy0,Energy45,Energy90,Energy135,Correlation0,Correlation45,Correlation90,Correlation135
aug_0_2952.png_flip_v,FreshFish,414.5609987745098,499.3049442522107,161.3546875,582.4196847366396,0.3732056140025136,0.35260518303783295,0.4113606764356744,0.3308242458151918,10.302481617647056,11.322968089196465,6.481433823529412,13.165151864667434,6.689008156103914,6.787595750488835,6.445297035582398,6.893069244278048,0.06360861455967956,0.06125869691085304,0.06653997683057596,0.060186704637452744,0.25220748315559466,0.24750494320488436,0.2579534392687486,0.24532978750541637,0.8611154469673832,0.8326220277260411,0.9458557269165135,0.8047601431432744
aug_0_2952.png_rot_90,FreshFish,161.3546875,499.3049442522107,414.5609987745098,582.4196847366396,0.4113606764356744,0.35260518303783295,0.3732056140025136,0.3308242458151918,6.481433823529412,11.322968089196465,10.302481617647056,13.165151864667434,6.445297035582398,6.787595750488835,6.689008156103914,6.893069244278048,0.06653997683057596,0.06125869691085304,0.06360861455967956,0.060186704637452744,0.2579534392687486,0.24750494320488436,0.25220748315559466,0.24532978750541637,0.9458557269165135,0.8326220277260411,0.8611154469673832,0.8047601431432744
aug_0_2952.png_rot_180,FreshFish,414.5609987745098,582.4196847366396,161.3546875,499.3049442522107,0.3732056140025136,0.3308242458151918,0.4113606764356744,0.35260518303783295,10.302481617647056,13.165151864667434,6.481433823529412,11.322968089196465,6.689008156103914,6.893069244278048,6.445297035582398,6.787595750488835,0.06360861455967956,0.060186704637452744,0.06653997683057596,0.06125869691085304,0.25220748315559466,0.24532978750541637,0.2579534392687486,0.24750494320488436,0.8611154469673832,0.8047601431432744,0.9458557269165135,0.8326220277260411
aug_0_2956.png_flip_h,FreshFish,534.5761029411765,619.9570472895041,355.1196844362746,1013.3823452518262,0.21213816168543723,0.16497799991192783,0.22902645724462467,0.15125814173190433,12.65361519607843,14.284367550941946,10.530530024509806,18.018193002691273,8.059913881168542,8.224146463951223,7.937159071189433,8.341370468089229,0.0025736605868986683,0.0019007650474834375,0.0031533912033908243,0.0017874930249670335,0.05073125847935046,0.04359776424867951,0.056155063915828855,0.04227875382466983,0.8753930134097551,0.8556036048631585,0.9172007908027107,0.7639695230670553
aug_0_2956.png_flip_v,FreshFish,534.5761029411765,619.9570472895041,355.1196844362746,1013.3823452518262,0.21213816168543723,0.16497799991192783,0.22902645724462467,0.15125814173190433,12.65361519607843,14.284367550941946,10.530530024509806,18.018193002691273,8.059913881168542,8.224146463951223,7.937159071189433,8.341370468089229,0.0025736605868986683,0.0019007650474834375,0.0031533912033908243,0.0017874930249670335,0.05073125847935046,0.04359776424867951,0.056155063915828855,0.04227875382466983,0.8753930134097551,0.8556036048631585,0.9172007908027107,0.7639695230670553
aug_0_2956.png_rot_90,FreshFish,355.1196844362746,619.9570472895041,534.5761029411765,1013.3823452518262,0.22902645724462467,0.16497799991192783,0.21213816168543723,0.15125814173190433,10.530530024509806,14.284367550941946,12.65361519607843,18.018193002691273,7.937159071189433,8.224146463951223,8.059913881168542,8.341370468089229,0.0031533912033908243,0.0019007650474834375,0.0025736605868986683,0.0017874930249670335,0.056155063915828855,0.04359776424867951,0.05073125847935046,0.04227875382466983,0.9172007908027107,0.8556036048631585,0.8753930134097551,0.7639695230670553
aug_0_2956.png_rot_180,FreshFish,534.5761029411765,1013.3823452518262,355.1196844362746,619.9570472895041,0.21213816168543723,0.15125814173190433,0.22902645724462467,0.16497799991192783,12.65361519607843,18.018193002691273,10.530530024509806,14.284367550941946,8.059913881168542,8.341370468089229,7.937159071189433,8.224146463951223,0.0025736605868986683,0.0017874930249670335,0.0031533912033908243,0.0019007650474834375,0.05073125847935046,0.04227875382466983,0.056155063915828855,0.04359776424867951,0.8753930134097551,0.7639695230670553,0.9172007908027107,0.8556036048631585
aug_0_306.png_flip_h,FreshFish,400.773131127451,512.3994156093809,337.09813112745104,872.8337101114954,0.5903994697694794,0.5844256963153691,0.6111284623822222,0.5485762665874071,7.042432598039216,7.779438677431757,6.414460784313727,11.69125720876586,4.6791337189405695,4.716895191394252,4.61220856380371,4.902567160300985,0.22375839473925302,0.2198142685782728,0.22713375280747644,0.2165283662673141,0.47303107164250113,0.468843543816349,0.4765855146849057,0.465326085951899,0.8945593785736974,0.8652785955741823,0.9114049431749641,0.770512261188721
aug_0_306.png_flip_v,FreshFish,400.773131127451,512.3994156093809,337.09813112745104,872.8337101114954,0.5903994697694794,0.5844256963153691,0.6111284623822222,0.5485762665874071,7.042432598039216,7.779438677431757,6.414460784313727,11.69125720876586,4.6791337189405695,4.716895191394252,4.61220856380371,4.902567160300985,0.22375839473925302,0.2198142685782728,0.22713375280747644,0.2165283662673141,0.47303107164250113,0.468843543816349,0.4765855146849057,0.465326085951899,0.8945593785736974,0.8652785955741823,0.9114049431749641,0.770512261188721
aug_0_306.png_rot_90,FreshFish,337.09813112745104,512.3994156093809,400.773131127451,872.8337101114954,0.6111284623822222,0.5844256963153691,0.5903994697694794,0.5485762665874071,6.414460784313727,7.779438677431757,7.042432598039216,11.69125720876586,4.61220856380371,4.716895191394252,4.6791337189405695,4.902567160300985,0.22713375280747644,0.2198142685782728,0.22375839473925302,0.2165283662673141,0.4765855146849057,0.468843543816349,0.47303107164250113,0.465326085951899,0.9114049431749641,0.8652785955741823,0.8945593785736974,0.770512261188721
aug_0_306.png_rot_180,FreshFish,400.773131127451,872.8337101114954,337.09813112745104,512.3994156093809,0.5903994697694794,0.5485762665874071,0.6111284623822222,0.5844256963153691,7.042432598039216,11.69125720876586,6.414460784313727,7.779438677431757,4.6791337189405695,4.902567160300985,4.61220856380371,4.716895191394252,0.22375839473925302,0.2165283662673141,0.22713375280747644,0.2198142685782728,0.47303107164250113,0.465326085951899,0.4765855146849057,0.468843543816349,0.8945593785736974,0.770512261188721,0.9114049431749641,0.8652785955741823
