Filename,Label,Contrast0,Contrast45,Contrast90,Contrast135,Homogeneity0,Homogeneity45,Homogeneity90,Homogeneity135,Dissimilarity0,Dissimilarity45,Dissimilarity90,Dissimilarity135,Entropy0,Entropy45,Entropy90,Entropy135,ASM0,ASM45,ASM90,ASM135,Energy0,Energy45,Energy90,Energy135,Correlation0,Correlation45,Correlation90,Correlation135
aug_0_9332.png_flip_v,FreshFish,189.5484681372549,209.44262975778548,46.051822916666666,235.642891195694,0.4535225056532874,0.44910088786031055,0.5123165060787569,0.44344257476925875,7.389338235294117,7.750665128796617,3.6315410539215685,8.398723567858516,6.215185648309401,6.2564503527754045,5.812465186351498,6.30157855454321,0.1483304563974793,0.14615560637444477,0.15302373267925048,0.14543989856325035,0.38513693200922616,0.3823030295125122,0.3911824800259471,0.38136583297832327,0.9749546158527983,0.9723241145143083,0.9939128356832069,0.9688619949062357
aug_0_9332.png_rot_90,FreshFish,46.051822916666666,209.44262975778548,189.5484681372549,235.642891195694,0.5123165060787569,0.44910088786031055,0.4535225056532874,0.44344257476925875,3.6315410539215685,7.750665128796617,7.389338235294117,8.398723567858516,5.812465186351498,6.2564503527754045,6.215185648309401,6.30157855454321,0.15302373267925048,0.14615560637444477,0.1483304563974793,0.14543989856325035,0.3911824800259471,0.3823030295125122,0.38513693200922616,0.38136583297832327,0.9939128356832069,0.9723241145143083,0.9749546158527983,0.9688619949062357
aug_0_9332.png_rot_180,FreshFish,189.5484681372549,235.642891195694,46.051822916666666,209.44262975778548,0.4535225056532874,0.44344257476925875,0.5123165060787569,0.44910088786031055,7.389338235294117,8.398723567858516,3.6315410539215685,7.750665128796617,6.215185648309401,6.30157855454321,5.812465186351498,6.2564503527754045,0.1483304563974793,0.14543989856325035,0.15302373267925048,0.14615560637444477,0.38513693200922616,0.38136583297832327,0.3911824800259471,0.3823030295125122,0.9749546158527983,0.9688619949062357,0.9939128356832069,0.9723241145143083
aug_0_940.png_flip_h,FreshFish,90.5545036764706,130.27973856209152,22.854626225490197,87.57891580161477,0.5340637294570796,0.5080046715556492,0.6275163171670832,0.5288236063847331,4.1394914215686285,4.855271049596309,2.0215379901960784,4.145405613225683,5.90934038567977,6.01331501069467,5.47063224357168,5.930439306890475,0.09213028863410411,0.08826839752433079,0.09735204489127532,0.09044944255166995,0.30352971622907715,0.2970999790042584,0.3120128921876071,0.3007481380685007,0.9866231461605615,0.9807047670342407,0.9966176984878525,0.9870290143206835
aug_0_940.png_flip_v,FreshFish,90.5545036764706,130.27973856209152,22.854626225490197,87.57891580161477,0.5340637294570796,0.5080046715556492,0.6275163171670832,0.5288236063847331,4.1394914215686285,4.855271049596309,2.0215379901960784,4.145405613225683,5.90934038567977,6.01331501069467,5.47063224357168,5.930439306890475,0.09213028863410411,0.08826839752433079,0.09735204489127532,0.09044944255166995,0.30352971622907715,0.2970999790042584,0.3120128921876071,0.3007481380685007,0.9866231461605615,0.9807047670342407,0.9966176984878525,0.9870290143206835
aug_0_940.png_rot_90,FreshFish,22.854626225490197,130.27973856209152,90.5545036764706,87.57891580161477,0.6275163171670832,0.5080046715556492,0.5340637294570796,0.5288236063847331,2.0215379901960784,4.855271049596309,4.1394914215686285,4.145405613225683,5.47063224357168,6.01331501069467,5.90934038567977,5.930439306890475,0.09735204489127532,0.08826839752433079,0.09213028863410411,0.09044944255166995,0.3120128921876071,0.2970999790042584,0.30352971622907715,0.3007481380685007,0.9966176984878525,0.9807047670342407,0.9866231461605615,0.9870290143206835
aug_0_940.png_rot_180,FreshFish,90.5545036764706,87.57891580161477,22.854626225490197,130.27973856209152,0.5340637294570796,0.5288236063847331,0.6275163171670832,0.5080046715556492,4.1394914215686285,4.145405613225683,2.0215379901960784,4.855271049596309,5.90934038567977,5.930439306890475,5.47063224357168,6.01331501069467,0.09213028863410411,0.09044944255166995,0.09735204489127532,0.08826839752433079,0.30352971622907715,0.3007481380685007,0.3120128921876071,0.2970999790042584,0.9866231461605615,0.9870290143206835,0.9966176984878525,0.9807047670342407
aug_0_9425.png_flip_h,FreshFish,122.37107843137257,123.24750480584392,91.66493566176473,270.9928335255671,0.6142699749316963,0.6096847631639212,0.6417183961074969,0.5862220599581769,4.283670343137256,4.472387543252595,3.661504289215687,6.3950019223375625,5.130051454077027,5.181372052079681,5.047042866663878,5.301954244215903,0.2022204029005521,0.19982253405331196,0.20360978574947144,0.1989811461329826,0.4496892292467678,0.44701513850574676,0.4512314104198326,0.4460730278026039,0.9857596428999211,0.9856557967221171,0.9893088938920805,0.9684604245255727
aug_0_9425.png_flip_v,FreshFish,122.37107843137257,123.24750480584392,91.66493566176473,270.9928335255671,0.6142699749316963,0.6096847631639212,0.6417183961074969,0.5862220599581769,4.283670343137256,4.472387543252595,3.661504289215687,6.3950019223375625,5.130051454077027,5.181372052079681,5.047042866663878,5.301954244215903,0.2022204029005521,0.19982253405331196,0.20360978574947144,0.1989811461329826,0.4496892292467678,0.44701513850574676,0.4512314104198326,0.4460730278026039,0.9857596428999211,0.9856557967221171,0.9893088938920805,0.9684604245255727
aug_0_9425.png_rot_90,FreshFish,91.66493566176473,123.24750480584392,122.37107843137257,270.9928335255671,0.6417183961074969,0.6096847631639212,0.6142699749316963,0.5862220599581769,3.661504289215687,4.472387543252595,4.283670343137256,6.3950019223375625,5.047042866663878,5.181372052079681,5.130051454077027,5.301954244215903,0.20360978574947144,0.19982253405331196,0.2022204029005521,0.1989811461329826,0.4512314104198326,0.44701513850574676,0.4496892292467678,0.4460730278026039,0.9893088938920805,0.9856557967221171,0.9857596428999211,0.9684604245255727
aug_0_9425.png_rot_180,FreshFish,122.37107843137257,270.9928335255671,91.66493566176473,123.24750480584392,0.6142699749316963,0.5862220599581769,0.6417183961074969,0.6096847631639212,4.283670343137256,6.3950019223375625,3.661504289215687,4.472387543252595,5.130051454077027,5.301954244215903,5.047042866663878,5.181372052079681,0.2022204029005521,0.1989811461329826,0.20360978574947144,0.19982253405331196,0.4496892292467678,0.4460730278026039,0.4512314104198326,0.44701513850574676,0.9857596428999211,0.9684604245255727,0.9893088938920805,0.9856557967221171
